iter	MAPE
0	0.5355046838
1	0.531575804
2	0.5435174033
3	0.5462429275
4	0.5663479243
5	0.5663479243
6	0.5407068987
7	0.5407068987
8	0.5407068987
9	0.5407068987
10	0.5407068987
11	0.5407068987
12	0.5407068987
13	0.5407068987
14	0.5407068987
15	0.5407068987
16	0.5407068987
17	0.5407068987
18	0.5407068987
19	0.5407068987
20	0.5407068987
21	0.5407068987
22	0.5407068987
23	0.5407068987
24	0.5407068987
25	0.5407068987
26	0.5407068987
27	0.5407068987
28	0.5407068987
29	0.5407068987
30	0.5407068987
31	0.5407068987
32	0.5407068987
33	0.5407068987
34	0.5407068987
35	0.5407068987
36	0.5407068987
37	0.5407068987
38	0.5407068987
39	0.5407068987
40	0.5407068987
41	0.5407068987
42	0.5407068987
43	0.5407068987
44	0.5407068987
45	0.5407068987
46	0.5407068987
47	0.5407068987
48	0.5407068987
49	0.5407068987
50	0.5407068987
51	0.5407068987
52	0.5407068987
53	0.5407068987
54	0.5407068987
55	0.5407068987
56	0.5407068987
57	0.5407068987
58	0.5407068987
59	0.5407068987
60	0.5407068987
61	0.5407068987
62	0.5407068987
63	0.5407068987
64	0.5407068987
65	0.5407068987
66	0.5407068987
67	0.5407068987
68	0.5407068987
69	0.5407068987
70	0.5407068987
71	0.5407068987
72	0.5407068987
73	0.5407068987
74	0.5407068987
75	0.5407068987
76	0.5407068987
77	0.5407068987
78	0.5407068987
79	0.5407068987
80	0.5407068987
81	0.5407068987
82	0.5407068987
83	0.5407068987
84	0.5407068987
85	0.5407068987
86	0.5407068987
87	0.5407068987
88	0.5407068987
89	0.5407068987
90	0.5407068987
91	0.5407068987
92	0.5407068987
93	0.5407068987
94	0.5407068987
95	0.5407068987
96	0.5407068987
97	0.5407068987
98	0.5407068987
99	0.5407068987
100	0.5407068987
101	0.5407068987
102	0.5407068987
103	0.5407068987
104	0.5407068987
105	0.5407068987
106	0.5407068987
107	0.5407068987
108	0.5407068987
109	0.5407068987
110	0.5407068987
111	0.5407068987
112	0.5407068987
113	0.5407068987
114	0.5407068987
115	0.5407068987
116	0.5407068987
117	0.5407068987
118	0.5407068987
119	0.5407068987
120	0.5407068987
121	0.5407068987
122	0.5407068987
123	0.5407068987
124	0.5407068987
125	0.5407068987
126	0.5407068987
127	0.5407068987
128	0.5407068987
129	0.5407068987
130	0.5407068987
131	0.5407068987
132	0.5407068987
133	0.5407068987
134	0.5407068987
135	0.5407068987
136	0.5407068987
137	0.5407068987
138	0.5407068987
139	0.5407068987
140	0.5407068987
141	0.5407068987
142	0.5407068987
143	0.5407068987
144	0.5407068987
145	0.5407068987
146	0.5407068987
147	0.5407068987
148	0.5407068987
149	0.5407068987
150	0.5407068987
151	0.5407068987
152	0.5407068987
153	0.5407068987
154	0.5407068987
155	0.5407068987
156	0.5407068987
157	0.5407068987
158	0.5407068987
159	0.5407068987
160	0.5407068987
161	0.5407068987
162	0.5407068987
163	0.5407068987
164	0.5407068987
165	0.5407068987
166	0.5407068987
167	0.5407068987
168	0.5407068987
169	0.5407068987
170	0.5407068987
171	0.5407068987
172	0.5407068987
173	0.5407068987
174	0.5407068987
175	0.5407068987
176	0.5407068987
177	0.5407068987
178	0.5407068987
179	0.5407068987
180	0.5407068987
181	0.5407068987
182	0.5407068987
183	0.5407068987
184	0.5407068987
185	0.5407068987
186	0.5407068987
187	0.5407068987
188	0.5407068987
189	0.5407068987
190	0.5407068987
191	0.5407068987
192	0.5407068987
193	0.5407068987
194	0.5407068987
195	0.5407068987
196	0.5407068987
197	0.5407068987
198	0.5407068987
199	0.5407068987
200	0.5407068987
201	0.5407068987
202	0.5407068987
203	0.5407068987
204	0.5407068987
205	0.5407068987
206	0.5407068987
207	0.5407068987
208	0.5407068987
209	0.5407068987
210	0.5407068987
211	0.5407068987
212	0.5407068987
213	0.5407068987
214	0.5407068987
215	0.5407068987
216	0.5407068987
217	0.5407068987
218	0.5407068987
219	0.5407068987
220	0.5407068987
221	0.5407068987
222	0.5407068987
223	0.5407068987
224	0.5407068987
225	0.5407068987
226	0.5407068987
227	0.5407068987
228	0.5407068987
229	0.5407068987
230	0.5407068987
231	0.5407068987
232	0.5407068987
233	0.5407068987
234	0.5407068987
235	0.5407068987
236	0.5407068987
237	0.5407068987
238	0.5407068987
